en,nl,description,file,hash
"Customer portal",Klantenportaal,,site/modules/Tickets/Tickets.module.php,513a0531c70cf969ddb5cb8a0bf17cd1
"Frontend framework",Frontend-framework,,site/modules/Tickets/Tickets.module.php,c887185c6013adddafbfdf72db7b6822
"Ticket taxonomy",Tickettaxonomie,,site/modules/Tickets/Tickets.module.php,a55545653278f7f5877a25844301227c
"Ticket types",Tickettypen,,site/modules/Tickets/Tickets.module.php,939b44bfe0c5071cc838ad41555e50e9
"Ticket topics",Ticketonderwerpen,,site/modules/Tickets/Tickets.module.php,12736fc96da05a7ea54f699efb0f44ba
"Ticket priorities",Ticketprioriteiten,,site/modules/Tickets/Tickets.module.php,e135c674e63027a884fa64bf03275640
"Transactional mail",Transactionele e-mail,,site/modules/Tickets/Tickets.module.php,4eddcb0e22df4a64ae094f7b2b0471e3
"Attachments and guest protection","Bijlagen en gastbeveiliging",,site/modules/Tickets/Tickets.module.php,df6c0162bafdf5edeaa9744c48078b45
"Support hours",Supporturen,,site/modules/Tickets/Tickets.module.php,d356d8d155fdb0958b718bd2483c07a9
"Reply assistance",Antwoordassistentie,,site/modules/Tickets/Tickets.module.php,cbb23b628371c9f1a5347a18569c2c3c
Localization,Lokalisatie,,site/modules/Tickets/Tickets.module.php,369686331c93d55e587441143ccdf427
"Support tickets",Supporttickets,,site/modules/Tickets/Tickets.module.php,b2c288b845626895ce6e716753dce694
Support,Ondersteuning,,site/modules/Tickets/Tickets.module.php,db5eb84117d06047c97c9a0191b5fffe
"Create a support ticket","Een supportticket maken",,site/modules/Tickets/Tickets.module.php,8a7cb32326fc1cdbfac0ed203dd40991
"Request details",Aanvraagdetails,,site/modules/Tickets/Tickets.module.php,255b76dbab47a0dbb4f8b13264e4615a
"What do you need help with?","Waarmee kunnen we helpen?",,site/modules/Tickets/Tickets.module.php,32a7de8254961a06baa2507d6ca1ad0f
Email,E-mail,,site/modules/Tickets/Tickets.module.php,ce8ae9da5b7cd6c3df2929543a9af92d
Subject,Onderwerp,,site/modules/Tickets/Tickets.module.php,c7892ebbb139886662c6f2fc8c450710
Type,Type,,site/modules/Tickets/Tickets.module.php,a1fa27779242b4902f7ae3bdd5c6d508
Topic,Thema,,site/modules/Tickets/Tickets.module.php,25812bf456959aa5f28dc570f341a3ba
Priority,Prioriteit,,site/modules/Tickets/Tickets.module.php,502996d9790340c5fd7b86a5b93b1c9f
Details,Details,,site/modules/Tickets/Tickets.module.php,3ec365dd533ddb7ef3d1c111186ce872
Screenshot,Schermafbeelding,,site/modules/Tickets/Tickets.module.php,3afbd9828e011526955ca93b48b57524
optional,optioneel,,site/modules/Tickets/Tickets.module.php,d57c24f3fe52d16e7169b912dd647f0d
Cancel,Annuleren,,site/modules/Tickets/Tickets.module.php,ea4788705e6873b424c65e91c2846b19
"Open now","Nu geopend",,site/modules/Tickets/Tickets.module.php,d5542204a83bcfff17f90ffdbf9711da
"Currently closed","Momenteel gesloten",,site/modules/Tickets/Tickets.module.php,0cc98f56b557829546ee0bf65cf95314
Reply,Beantwoorden,,site/modules/Tickets/Tickets.module.php,25d8df6e580905091a0d5ef5b9e05bf0
Message,Bericht,,site/modules/Tickets/Tickets.module.php,4c2a8fe7eaf24721cc7a9f0175115bd4
"Send reply","Antwoord verzenden",,site/modules/Tickets/Tickets.module.php,662f371ef2b68e76380e0d3f7d6320c8
